feature,psi,status
Amount,0.02279090556277566,stable
V1,1.0139486500252226,major_drift
V2,0.021410423141351075,stable
V3,0.7504099747378628,major_drift
V4,0.14796481124020205,slight_drift
V5,0.16745669743763753,slight_drift
V6,0.06753500188386768,stable
V7,0.07419642896501762,stable
V8,0.04206700461162486,stable
V9,0.06341759324993762,stable
V10,0.03305163143022814,stable
V11,0.33935416374285354,major_drift
V12,0.2175372584254929,slight_drift
V13,0.04038867722504262,stable
V14,0.07878783458688657,stable
V15,0.21745408652707546,slight_drift
V16,0.010788162388632352,stable
V17,0.04338705603207901,stable
V18,0.02712003915050761,stable
V19,0.033795512403992416,stable
V20,0.054819167792360075,stable
V21,0.10131606832917808,slight_drift
V22,0.16428441385515777,slight_drift
V23,0.1332084168002944,slight_drift
V24,0.13430894116181646,slight_drift
V25,0.28628382411052533,major_drift
V26,0.14581622994881102,slight_drift
V27,0.04379502948255693,stable
V28,0.5319055195232777,major_drift
